rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7206,0.5412,0.8333,1.0,5,5,False,True
2,frame_0123.jpg,49.2,0.7138,0.7716,0.6667,0.64,4,4,False,True
3,frame_0387.jpg,154.8,0.7074,0.7347,1.0,0.2,8,6,False,True
4,frame_0169.jpg,67.6,0.6574,0.6068,0.8333,0.52,6,5,False,True
5,frame_0173.jpg,69.2,0.6545,0.665,0.8333,0.36,6,5,False,False
6,frame_0072.jpg,28.8,0.6475,0.4949,0.6667,1.0,7,4,False,False
7,frame_0008.jpg,3.2,0.6393,0.5785,0.5,1.0,3,3,False,True
8,frame_0001.jpg,0.4,0.6349,0.5698,0.5,1.0,5,3,False,True
9,frame_0297.jpg,118.8,0.6185,0.5969,0.6667,0.6,4,4,False,True
10,frame_0384.jpg,153.6,0.6157,0.5674,1.0,0.16,8,6,False,False
11,frame_0070.jpg,28.0,0.6138,0.4275,0.6667,1.0,5,4,False,False
12,frame_0077.jpg,30.8,0.6014,0.5508,0.5,0.88,6,3,False,False
13,frame_0375.jpg,150.0,0.5973,0.6146,0.8333,0.2,6,5,False,True
14,frame_0074.jpg,29.6,0.5946,0.4892,0.5,1.0,6,3,False,False
15,frame_0397.jpg,158.8,0.5936,0.6072,0.8333,0.2,7,5,False,True
16,frame_0129.jpg,51.6,0.5914,0.5307,0.5,0.88,6,3,False,True
17,frame_0291.jpg,116.4,0.5912,0.4463,0.6667,0.84,6,4,False,True
18,frame_0289.jpg,115.6,0.5888,0.6737,0.3333,0.76,3,2,False,False
19,frame_0168.jpg,67.2,0.5828,0.5415,0.6667,0.56,6,4,False,False
20,frame_0071.jpg,28.4,0.5806,0.4613,0.5,1.0,5,3,False,False
21,frame_0216.jpg,86.4,0.579,0.8819,0.1667,0.44,2,1,False,True
22,frame_0015.jpg,6.0,0.5767,0.5534,0.3333,1.0,4,2,False,False
23,frame_0112.jpg,44.8,0.5739,0.7678,0.5,0.2,3,3,False,False
24,frame_0376.jpg,150.4,0.5715,0.679,0.6667,0.16,6,4,False,False
25,frame_0290.jpg,116.0,0.5667,0.5135,0.5,0.8,4,3,False,False
26,frame_0029.jpg,11.6,0.5629,0.4257,0.5,1.0,5,3,False,False
27,frame_0283.jpg,113.2,0.5622,0.7165,0.3333,0.52,2,2,False,False
28,frame_0126.jpg,50.4,0.5582,0.5124,0.5,0.76,4,3,False,False
29,frame_0327.jpg,130.8,0.5578,0.6996,0.6667,0.04,9,4,False,False
30,frame_0079.jpg,31.6,0.5551,0.4901,0.5,0.8,6,3,False,False
31,frame_0019.jpg,7.6,0.5521,0.6042,0.1667,1.0,1,1,False,False
32,frame_0020.jpg,8.0,0.5451,0.4903,0.3333,1.0,2,2,False,False
